Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Date_year,Order Date_month,Order Date_day,Order Date_dayofweek,Order Date_quarter,Ship Date_year,Ship Date_month,Ship Date_day,Ship Date_dayofweek,Ship Date_quarter,Sales_log,Sales_sqrt,Quantity_sqrt,Discount_sqrt,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Category_Office Supplies,Category_Technology,Row ID_log,Row ID_sqrt,Postal Code_sqrt,Row ID_binned
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,2016,11,8,1,4,2016,11,11,4,4,5.572001929355964,16.18517840494815,1.4142135623730951,0.0,False,True,False,False,False,False,True,False,False,False,0.6931471805599453,1.0,205.9611613872868,"(0.999, 250.5]"
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,2016,11,8,1,4,2016,11,11,4,4,6.597063843147503,27.05438966230804,1.7320508075688772,0.0,False,True,False,False,False,False,True,False,False,False,1.0986122886681098,1.4142135623730951,205.9611613872868,"(0.999, 250.5]"
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,2016,6,12,6,2,2016,6,16,3,2,2.74855214441154,3.823610858861032,1.4142135623730951,0.0,False,True,False,True,False,False,False,True,True,False,1.3862943611198906,1.7320508075688772,300.0599940011997,"(0.999, 250.5]"
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,2015,10,11,6,4,2015,10,18,6,4,6.86545041472046,30.944749150704062,2.23606797749979,0.6708203932499369,False,False,True,False,False,False,True,False,False,False,1.6094379124341003,2.0,182.51301323467322,"(0.999, 250.5]"
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,2015,10,11,6,4,2015,10,18,6,4,3.15136756508544,4.729482001234384,1.4142135623730951,0.4472135954999579,False,False,True,False,False,False,True,False,True,False,1.791759469228055,2.23606797749979,182.51301323467322,"(0.999, 250.5]"
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,2014,6,9,0,2,2014,6,14,5,2,3.909219078095412,6.989992846920518,2.6457513110645907,0.0,False,False,True,False,False,False,False,True,False,False,1.9459101490553132,2.449489742783178,300.0533285934352,"(0.999, 250.5]"
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,2014,6,9,0,2,2014,6,14,5,2,2.1138429683971687,2.6981475126464085,2.0,0.0,False,False,True,False,False,False,False,True,True,False,2.0794415416798357,2.6457513110645907,300.0533285934352,"(0.999, 250.5]"
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,2014,6,9,0,2,2014,6,14,5,2,6.8114117654723865,30.118964125613616,2.449489742783178,0.4472135954999579,False,False,True,False,False,False,False,True,False,True,2.1972245773362196,2.8284271247461903,300.0533285934352,"(0.999, 250.5]"
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,2014,6,9,0,2,2014,6,14,5,2,2.970619572738916,4.301627598944381,1.7320508075688772,0.4472135954999579,False,False,True,False,False,False,False,True,True,False,2.302585092994046,3.0,300.0533285934352,"(0.999, 250.5]"
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,2014,6,9,0,2,2014,6,14,5,2,4.752727750345706,10.719141756689291,2.23606797749979,0.0,False,False,True,False,False,False,False,True,True,False,2.3978952727983707,3.1622776601683795,300.0533285934352,"(0.999, 250.5]"
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,2014,6,9,0,2,2014,6,14,5,2,7.442600508432343,41.30598019657686,3.0,0.4472135954999579,False,False,True,False,False,False,False,True,False,False,2.4849066497880004,3.3166247903554,300.0533285934352,"(0.999, 250.5]"
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Easy-staple paper,911.424,4,0.2,68.3568,2014,6,9,0,2,2014,6,14,5,2,6.816104794316803,30.18979960185228,2.0,0.4472135954999579,False,False,True,False,False,False,False,True,False,True,2.5649493574615367,3.4641016151377544,300.0533285934352,"(0.999, 250.5]"
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,2017,4,15,5,2,2017,4,20,3,2,2.8065069404432417,3.943602414037196,1.7320508075688772,0.4472135954999579,False,False,True,False,False,False,True,False,True,False,2.6390573296152584,3.605551275463989,167.4126637981727,"(0.999, 250.5]"
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,2016,12,5,0,4,2016,12,10,5,4,6.013656474614479,20.19841577946152,1.7320508075688772,0.4472135954999579,False,False,True,False,False,False,False,True,True,False,2.70805020110221,3.7416573867739413,313.213984362129,"(0.999, 250.5]"
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,2015,11,22,6,4,2015,11,26,3,4,4.24577726598231,8.295179322956196,2.23606797749979,0.8944271909999159,False,False,True,False,True,False,False,False,True,False,2.772588722239781,3.872983346207417,275.87315925983086,"(0.999, 250.5]"
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,2015,11,22,6,4,2015,11,26,3,4,1.2652560327428346,1.594992162990151,1.7320508075688772,0.8944271909999159,False,False,True,False,True,False,False,False,True,False,2.833213344056216,4.0,275.87315925983086,"(0.999, 250.5]"
